Source,Firm,URL,Country
https://www.angloinfo.com/,Burj Nahar,http://www.definitelydubai.com/im-visiting/things-see/heritage-museums/burj-nahar,UAE
https://www.angloinfo.com/,Hatta Heritage Village,http://visiting.definitelydubai.com/things-to-see/heritage-a-museums/hatta-heritage-village,UAE
https://www.angloinfo.com/,Jumeirah Mosque,Nan,UAE
https://www.angloinfo.com/,Sheikh Mohammed Centre for Cultural Understanding,http://cultures.ae,UAE
https://www.angloinfo.com/,Dubai Museum,http://visiting.definitelydubai.com/things-to-see/heritage-a-museums/dubai-museum,UAE
https://www.angloinfo.com/,Burj Khalifa,http://www.burjkhalifa.ae/,UAE
https://www.angloinfo.com/,Neif Museum,http://www.definitelydubai.com/,UAE
https://www.angloinfo.com/,Ras Al Khor Wildlife Sanctuary,http://wildlife.ae/en/index.php,UAE
https://www.angloinfo.com/,Jumeirah Archaeological Site,http://visiting.definitelydubai.com/things-to-see/heritage-a-museums/archaeological-sites,UAE
https://www.angloinfo.com/,Bastakiya,http://www.definitelydubai.com/im-visiting/things-see/landmarks/bastakiya,UAE
https://www.angloinfo.com/,Heritage & Diving Village,http://visiting.definitelydubai.com/things-to-see/heritage-a-museums/heritage-a-diving-village,UAE
https://www.angloinfo.com/,Al Ahmadiya School & Heritage House,http://www.definitelydubai.com/,UAE
https://www.angloinfo.com/,Sheikh Saeed Al Maktoums House,http://www.definitelydubai.com/im-visiting/things-see/heritage-museums/sheikh-saeed%E2%80%99s-house,UAE
https://www.angloinfo.com/,Dubai Municipality Museum,http://visiting.definitelydubai.com/things-to-see/heritage-a-museums/dubai-municipality-museum,UAE
https://www.angloinfo.com/,IBS Group,Nan,UAE
https://www.angloinfo.com/,Tambi Studios,http://www.tambistudios.com/,UAE
https://www.angloinfo.com/,Felipe Scherson,http://www.felipescherson.com/,UAE
https://www.angloinfo.com/,Spotlife Film Productions,http://www.spotlifefilms.com,UAE
https://www.angloinfo.com/,Lamcy Cinema,http://www.lamcyplaza.com/,UAE
https://www.angloinfo.com/,1971 Productions,https://www.facebook.com/1971Productions,UAE
https://www.angloinfo.com/,Movies Under the Stars,http://www.wafi.com,UAE
https://www.angloinfo.com/,Reel Cinemas,http://www.reelcinemas.ae/,UAE
https://www.angloinfo.com/,Dubai International Film Festival,http://www.dubaifilmfest.com/index.php/en/,UAE
https://www.angloinfo.com/,Grand Cinemas,http://www.grandcinemas.com/,UAE
https://www.angloinfo.com/,The Pavilion Downtown Dubai,http://pavilion.ae/,UAE
https://www.angloinfo.com/,VOX Cinemas,http://cinestarcinemas.com/,UAE
https://www.angloinfo.com/,Cinemacity Dubai,http://www.cinemacity.ae,UAE
https://www.angloinfo.com/,Virgin Megastore,http://www.virginmegastore.me/,UAE
https://www.angloinfo.com/,Tambi Studios LLC,http://www.tambistudios.com/,UAE
https://www.angloinfo.com/,Home Shopping Trends,http://www.hstdeals.com/,UAE
https://www.angloinfo.com/,Hamleys,http://www.hamleys.com/,UAE
https://www.angloinfo.com/,Aido,http://www.aido.com/,UAE
https://www.angloinfo.com/,Booksplus,http://www.appareluae.com/,UAE
https://www.angloinfo.com/,ICardCool,https://www.icardcool.com/,UAE
https://www.angloinfo.com/,Geekay,http://www.geekaygames.ae/,UAE
https://www.angloinfo.com/,Borders,http://www.barnesandnoble.com/u/borders/379003142,UAE
https://www.angloinfo.com/,Toys R Us,http://www.toysrusuae.com/,UAE
https://www.angloinfo.com/,Escape Reality Dubai,https://www.escapereality.com,UAE
https://www.angloinfo.com/,STARGATE,http://www.thethemeparkguy.com/,UAE
https://www.angloinfo.com/,Aquaventure,http://www.atlantisthepalm.com/marineandwaterpark/aquaventure.aspx,UAE
https://www.angloinfo.com/,Jumble,https://jumble.ae/,UAE
https://www.angloinfo.com/,Wild Wadi Waterpark,http://wildwadi.com,UAE
https://www.angloinfo.com/,Flip Out Dubai,http://flipout.ae,UAE
https://www.angloinfo.com/,Wonderland Theme Park & Splashland Water Park,http://www.wonderlanduae.com,UAE
https://www.angloinfo.com/,Read N Enjoy,http://www.readnenjoy.com/,UAE
https://www.angloinfo.com/,Virgin Megastore,http://www.virginmegastore.me/,UAE
https://www.angloinfo.com/,Al Mutanabbi Bookshop - Hor Al Anz,http://www.albatra.com/,UAE
https://www.angloinfo.com/,Magrudys Zayed University Dubai,http://www.magrudy.com/,UAE
https://www.angloinfo.com/,Booksplus,http://www.appareluae.com/,UAE
https://www.angloinfo.com/,Book Corner,http://www.bookcorner.ae,UAE
https://www.angloinfo.com/,Al Furqan,http://www.alfurqantrading.com/,UAE
https://www.angloinfo.com/,Aido,http://www.aido.com/,UAE
https://www.angloinfo.com/,Al Mutanabbi Bookshop - Deira,http://www.albatra.com/,UAE
https://www.angloinfo.com/,Borders,http://www.barnesandnoble.com/u/borders/379003142,UAE
https://www.angloinfo.com/,Al Mutanabbi Bookshop - Karama,http://www.albatra.com/,UAE
https://www.angloinfo.com/,Culture & Co Bookstore,http://www.culturecodubai.net/,UAE
https://www.angloinfo.com/,Archies Lending Library & Bookshop,Nan,UAE
https://www.angloinfo.com/,Magrudys Jumeirah,http://www.magrudy.com/,UAE
https://www.angloinfo.com/,Magrudys Al Ittihad,https://magrudy.com/,UAE
https://www.angloinfo.com/,Book World by Kinokuniya,http://www.kinokuniya.com/ae/,UAE
https://www.angloinfo.com/,Little Thinking Minds,http://www.littlethinkingminds.com/en,UAE
https://www.angloinfo.com/,Jashanmal Books,http://www.jashanmalbooks.com/,UAE
https://www.angloinfo.com/,Bookworm Bookshop,Nan,UAE
https://www.angloinfo.com/,House of Prose,http://www.houseofprose.com,UAE
https://www.angloinfo.com/,The Entertainer,http://theentertainerme.com/,UAE
https://www.angloinfo.com/,Books Arabia,http://booksarabia.com/,UAE
https://www.angloinfo.com/,The Mojo Gallery Dubai,http://www.themojogallery.com/,UAE
https://www.angloinfo.com/,Cuadro Fine Art Gallery,http://www.cuadroart.com,UAE
https://www.angloinfo.com/,The Pavilion Downtown Dubai,http://pavilion.ae/,UAE
https://www.angloinfo.com/,Showcase,http://showcaseuae.com/,UAE
https://www.angloinfo.com/,Gallery 76,http://www.artdubai.com/,UAE
https://www.angloinfo.com/,Etemad Dubai,http://www.galleryetemad.com/index.php/Dubai,UAE
https://www.angloinfo.com/,Ayyam Art Center,http://www.ayyamgallery.com/,UAE
https://www.angloinfo.com/,Artspace Gallery,http://artspace-dubai.com/,UAE
https://www.angloinfo.com/,Glory Art Gallery,http://www.gloryartgallery.com,UAE
https://www.angloinfo.com/,Objects & Elements,http://www.objectsandelementsart.com/,UAE
https://www.angloinfo.com/,Carbon 12 Dubai,http://www.carbon12dubai.com,UAE
https://www.angloinfo.com/,The Courtyard,http://www.courtyard-uae.com,UAE
https://www.angloinfo.com/,Artisans of the Emirates (ARTE),http://arte.ae/,UAE
https://www.angloinfo.com/,Galatea Art Gallery,http://galatea-art-gallery.com/,UAE
https://www.angloinfo.com/,Lawrie Shabibi,http://www.lawrieshabibi.com/,UAE
https://www.angloinfo.com/,The Third Line,http://www.thethirdline.com,UAE
https://www.angloinfo.com/,4 Walls Art Gallery,http://www.4walls-dubai.com/,UAE
https://www.angloinfo.com/,Suzi Nassif,http://suzinassif.com/,UAE
https://www.angloinfo.com/,1x1 Art Gallery,http://1x1artgallery.com/,UAE
https://www.angloinfo.com/,Hunar Gallery,Nan,UAE
https://www.angloinfo.com/,Mondo Arte Gallery,http://mondoarte.net/,UAE
https://www.angloinfo.com/,Focus Direct Group,http://focusdirectexb.com/,UAE
https://www.angloinfo.com/,Art Plus Gallery and Printing,http://www.artplus.cc,UAE
https://www.angloinfo.com/,Art Couture,http://artcoutureuae.com/,UAE
https://www.angloinfo.com/,Green Art Gallery,http://gagallery.com/,UAE
https://www.angloinfo.com/,Farjam Collection,http://www.farjamcollection.org/,UAE
https://www.angloinfo.com/,J+A Gallery,http://www.ja-gallery.com/,UAE
https://www.angloinfo.com/,Sculptures Middle East – Sculpture Design Studio Dubai,http://www.sculptures-me.com/index.php,UAE
https://www.angloinfo.com/,Gallery Isabelle van den Eynde,http://ivde.net/,UAE
https://www.angloinfo.com/,Gallery of Light,http://www.ductac.org/gallery_light.php,UAE
https://www.angloinfo.com/,Art Sawa,http://artsawa.com/,UAE
https://www.angloinfo.com/,ProArt Gallery,http://proartuae.com/,UAE
https://www.angloinfo.com/,Shamma Gallery,http://shamma.ae,UAE
https://www.angloinfo.com/,The Flying House,http://www.flyinghouse.net/,UAE
https://www.angloinfo.com/,Cartoon Art Gallery,http://www.cartoonartgallery.org/,UAE
https://www.angloinfo.com/,Traffic,http://viatraffic.org/,UAE
https://www.angloinfo.com/,Meem Gallery,http://www.meemartgallery.com/,UAE
https://www.angloinfo.com/,DGallery Online,http://www.dgalleryonline.com,UAE
https://www.angloinfo.com/,Funoon,http://funoon.ae,UAE
https://www.angloinfo.com/,The Majilis Gallery,http://www.themajlisgallery.com/,UAE
https://www.angloinfo.com/,Channels Exhibition LLC,http://www.channelsexhibitions.com,UAE
https://www.angloinfo.com/,The Empty Quarter,http://theemptyquarter.com/index.php,UAE
https://www.angloinfo.com/,Tashkeel,http://www.tashkeel.org/,UAE
https://www.angloinfo.com/,Creative Minds,http://www.creativemindsdubai.com,UAE
https://www.angloinfo.com/,XVA,http://www.xvagallery.com,UAE
https://www.angloinfo.com/,thejamjar,http://www.thejamjardubai.com/,UAE
https://www.angloinfo.com/,The Art Cocoon,http://www.theartcocoon.com,UAE
https://www.angloinfo.com/,Ahlan!,http://www.ahlanlive.com/,UAE
https://www.angloinfo.com/,Al Adiyat,http://www.aladiyat.ae/,UAE
https://www.angloinfo.com/,The Times,http://thetimesme.com/,UAE
https://www.angloinfo.com/,BBC Good Food Middle East,http://www.bbcgoodfoodme.com/,UAE
https://www.angloinfo.com/,Campaign Middle East,http://campaignme.com/,UAE
https://www.angloinfo.com/,PET ME,http://www.petmeonline.com/,UAE
https://www.angloinfo.com/,Time Out Dubai,http://www.timeoutdubai.com/,UAE
https://www.angloinfo.com/,Time Out Kids,http://www.timeoutdubai.com/kids,UAE
https://www.angloinfo.com/,Khaleej Times,http://www.khaleejtimes.com/,UAE
https://www.angloinfo.com/,RollingStone,http://www.rollingstoneme.com/,UAE
https://www.angloinfo.com/,Whats On,http://www.motivatepublishing.com/packages/default.asp?categorycode=Mag&packageid=whatson,UAE
https://www.angloinfo.com/,Paws & Claws,http://www.pawsnclawsmagazine.com,UAE
https://www.angloinfo.com/,Connector,http://mydubaiconnection.com/,UAE
https://www.angloinfo.com/,Esquire Middle East,Nan,UAE
https://www.angloinfo.com/,Reseller Middle East,http://www.resellerme.com/,UAE
https://www.angloinfo.com/,Taste Life Cafe,http://www.taste-life-cafe.com/,UAE
https://www.angloinfo.com/,SME Advisor Middle East,http://www.smeadvisor.com/,UAE
https://www.angloinfo.com/,MONEYworks,Nan,UAE
https://www.angloinfo.com/,Harpers BAZAAR Middle East,http://www.harpersbazaarme.com,UAE
https://www.angloinfo.com/,BGreen,https://www.facebook.com/BGreenMagazine,UAE
https://www.angloinfo.com/,Friday,http://fridaymagazine.ae,UAE
https://www.angloinfo.com/,Middle East Golfer,Nan,UAE
https://www.angloinfo.com/,Read,https://www.facebook.com/Readmeae,UAE
https://www.angloinfo.com/,Emirates Parent Plus,http://www.emiratesparentplus.com,UAE
https://www.angloinfo.com/,Xpress,http://Xpress4me.com,UAE
https://www.angloinfo.com/,Vision,http://www.vision.ae/,UAE
https://www.angloinfo.com/,7Days,Nan,UAE
https://www.angloinfo.com/,Viva,Nan,UAE
https://www.angloinfo.com/,Wedding,http://www.itp.com/magazine/85-Wedding,UAE
https://www.angloinfo.com/,La Moda Dubai,http://www.lamodadubai.com/,UAE
https://www.angloinfo.com/,Gulf News,http://gulfnews.com/,UAE
https://www.angloinfo.com/,Live Work Explore Magazine,http://www.liveworkexplore.com/magazine,UAE
https://www.angloinfo.com/,Ahlan! Masala!,http://www.masala.com,UAE
https://www.angloinfo.com/,Wealth Monitor,http://www.wealth-monitor.com/,UAE
https://www.angloinfo.com/,Construction Machinery Middle East,Nan,UAE
https://www.angloinfo.com/,Hotelier Middle East,http://www.hoteliermiddleeast.com/,UAE
https://www.angloinfo.com/,Emirates Home,http://www.emirateshome.com/,UAE
https://www.angloinfo.com/,Emirates Woman,http://emirateswoman.com/,UAE
https://www.angloinfo.com/,Good Housekeeping Middle East,http://www.goodhousekeeping.com/,UAE
https://www.angloinfo.com/,Sport 360,http://sport360.com,UAE
https://www.angloinfo.com/,Arabian Business,http://www.arabianbusiness.com,UAE
https://www.angloinfo.com/,OK! Middle East,http://www.ok-me.com,UAE
https://www.angloinfo.com/,Stuff Middle East,http://stuffmideast.com/,UAE
https://www.angloinfo.com/,Mother Baby & Child,http://www.motherbabychild.com/,UAE
https://www.angloinfo.com/,Al Badia Magazine,http://www.albadiamagazine.com/,UAE
https://www.angloinfo.com/,Istathmir,http://www.istathmir.com/en,UAE
https://www.angloinfo.com/,The Emirates Network,http://www.theemiratesnetwork.com/,UAE
https://www.angloinfo.com/,Air Miles,http://uae.airmilesme.com/en/,UAE
https://www.angloinfo.com/,DreamAll,http://dreamall.com,UAE
https://www.angloinfo.com/,Groupon UAE,http://www.groupon.ae/,UAE
https://www.angloinfo.com/,sourceme,http://sourcemiddleeast.com/,UAE
https://www.angloinfo.com/,Metality UAE,http://www.metalityuae.com/,UAE
https://www.angloinfo.com/,Sand in my Heels,http://www.sandinmyheels.com/,UAE
https://www.angloinfo.com/,Social Circles UAE,http://socialcirclesuae.com/,UAE
https://www.angloinfo.com/,R C Movers,https://www.rcmovers.net/,UAE
https://www.angloinfo.com/,SpaGenie,http://www.spagenie.ae/,UAE
https://www.angloinfo.com/,Northern Emirates Homeschool Association,http://uaehomeschool.wordpress.com/,UAE
https://www.angloinfo.com/,Your Food Mag,http://www.yourfoodmag.com/,UAE
https://www.angloinfo.com/,Edarabia,http://www.edarabia.com/uae/,UAE
https://www.angloinfo.com/,Green Maps UAE,http://www.greenmap.org/greenhouse/user/2839,UAE
https://www.angloinfo.com/,ExpatWoman,http://www.expatwoman.com/default.aspx,UAE
https://www.angloinfo.com/,UAE Yellow Pages,Nan,UAE
https://www.angloinfo.com/,German National Tourist Board,http://www.germany.travel/en/index.html,UAE
https://www.angloinfo.com/,Dubai Department of Tourism and Commerce Marketing,http://www.visitdubai.com/en,UAE
https://www.angloinfo.com/,Turkish Culture and Tourism Office,http://www.tourismturkey.ae/en,UAE
https://www.angloinfo.com/,Malta Tourism Authority,http://www.visitmalta.com,UAE
https://www.angloinfo.com/,Indonesia Tourist Office Middle East,http://www.facebook.com/pages/VISIT-INDONESIA-TOURISM-OFFICE-VITO-MIDDLE-EAST/88787196642,UAE
https://www.angloinfo.com/,Seychelles Tourist Office - Middle East,http://www.seychelles.travel/,UAE
https://www.angloinfo.com/,Tourism Authority of Thailand,http://www.tourismthailand-middleeast.org/en/home/,UAE
https://www.angloinfo.com/,QuadLabs Technologies,http://www.quadlabs.com,UAE
https://www.angloinfo.com/,India Tourist Office,http://www.incredibleindia.org/en/india-essencials-getting-to-india/getting-to-india/india-tourism-office,UAE
https://www.angloinfo.com/,Happy Adventures Tourism LLC,https://www.happydesertsafari.com/,UAE
https://www.angloinfo.com/,Definitely Dubai,http://www.definitelydubai.com/,UAE
https://www.angloinfo.com/,Dusk Tours LLC,http://www.uaevisagov.com,UAE
https://www.angloinfo.com/,Woodbine Migration Services,https://www.woodbinemigration.com,UAE
